"title","rate","cuisine","location","address","street","price_from","price_till","url"
"Lucky Cat Coffee & Kitchen",3.87,"Kafe","Kuningan","Plaza Festival, Lantai Upper Ground","Jl. HR Rasuna Said, Kuningan, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/lucky-cat-coffee-dan-kitchen-kuningan"
"Kimukatsu",3.88,"Jepang","Puri","St Moritz Mall (Lippo Mall Puri), Lantai Lower Ground, Takeshita Street","Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/kimukatsu-puri"
"Social Affair Coffee & Baked House",3.88,"Kafe","Pantai Indah Kapuk","PIK Avenue, Lantai Ground","Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",100000,200000,"https://pergikuliner.com/restaurants/jakarta/social-affair-coffee-dan-baked-house-pantai-indah-kapuk-2"
"Pizza Hut",3.93,"","Puri","Puri Indah Mall, Lantai 1","Jl. Puri Indah Raya, Puri, Jakarta Barat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/pizza-hut-puri"
"Brew and Else",3.92,"Kafe","Pantai Indah Kapuk","Ruko Exclusive, Blok B No. 26, Bukit Golf Mediterania","Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/brew-and-else-pantai-indah-kapuk"
"Zenbu",4,"Jepang","Senayan","Senayan City, Lantai 5, Delicae Food Court","Jl. Asia Afrika, Senayan, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/zenbu-senayan"
"Warung Tuman",4.02,"Indonesia","BSD",,"Jl. Kelurahan Ciater Kencana Loka No. 5, BSD, Serpong, Tangerang Selatan",50000,100000,"https://pergikuliner.com/restaurants/tangerang/warung-tuman-bsd"
"ECAPS",4.07,"Kafe","Kemang",,"Jl. Kemang Raya No. 17, Kemang, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/ecaps-kemang"
"Starbucks Coffee",4.1,"Kafe","Gatot Subroto","Trans Studio Mall Bandung, Lantai Ground","Jl. Gatot Subroto No. 289, Gatot Subroto, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/starbucks-coffee-gatot-subroto"
"The Japanese - Sari Pacific Hotel",4.1,"Jepang","Thamrin","Sari Pacific Hotel","Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/the-japanese-sari-pacific-hotel-thamrin"
"Moco Moven Coffee",4.09,"Kafe","Sunter",,"Jl. Griya Sejahtera Blok L1 No. 4, Sunter, Jakarta Utara",0,50000,"https://pergikuliner.com/restaurants/jakarta/moco-moven-coffee-sunter"
"Txoko",4.15,"Spanyol","Senopati",,"Jl. Suryo No. 6, Senopati, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/txoko-senopati"
"Senewen Time",4.04,"Indonesia","Gayungan",,"Jl. Menanggal V No. 78, Gayungan, Surabaya",0,50000,"https://pergikuliner.com/restaurants/surabaya/senewen-time-gayungan"
"Su Bu Kan",4.11,"Korea","Karawaci","Supermal Karawaci, Lantai Ground, Gourmet Walk","Jl. Boulevard Diponegoro No. 105, Karawaci, Tangerang",100000,200000,"https://pergikuliner.com/restaurants/tangerang/su-bu-kan-karawaci"
"Holycow! STEAKHOUSE by Chef Afit",4.13,"Barat","Bintaro",,"Jl. Menteng Raya Blok FG1 No. 6 (Bintaro Sektor 5), Bintaro, Tangerang Selatan",200000,,"https://pergikuliner.com/restaurants/tangerang/holycow-steakhouse-by-chef-afit-bintaro"
"KOI The",3.97,"Kafe","Tegalsari","Tunjungan Plaza 6, Lantai 5","Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",0,50000,"https://pergikuliner.com/restaurants/surabaya/koi-the-tegalsari"
"Sapo Oriental",4.23,"China","Cibubur","Cibubur Junction, Lantai Ground","Jl. Jambore, Cibubur, Jakarta Timur",50000,100000,"https://pergikuliner.com/restaurants/jakarta/sapo-oriental-cibubur"
"Aroma Padi",4.2,"Indonesia","Fatmawati",,"Jl. Cipete Raya No. 6, Fatmawati, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/aroma-padi-fatmawati"
"Mimiti Coffee & Space",3.92,"Kafe","Dago Atas",,"Jl. Bukit Pakar Timur No. 7, Dago Atas, Bandung",0,50000,"https://pergikuliner.com/restaurants/bandung/mimiti-coffee-dan-space-dago-atas"
"Maple & Oak",3.93,"Kafe","Menteng","De Ritz Building, Lantai Ground","Jl. HOS Cokroaminoto No. 91, Menteng, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/maple-dan-oak-menteng"
"Mujigae",3.95,"Korea","Cihampelas","Cihampelas Walk, Lantai Ground, Young Street","Jl. Cihampelas No. 160, Cihampelas, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/mujigae-cihampelas"
"Hygge Signature",3.99,"Kafe","BSD","Upper West Experience Centre","Jl. BSD Raya Utama, BSD, Serpong, Tangerang Selatan",100000,200000,"https://pergikuliner.com/restaurants/tangerang/hygge-signature-bsd"
"Tteokbokki Queen",4.11,"Korea","Mulyorejo","Ruko San Antonio, Blok N1 No. 178","Jl. Kalisari Utara I, Mulyorejo, Surabaya",50000,100000,"https://pergikuliner.com/restaurants/surabaya/tteokbokki-queen-mulyorejo-2"
"Sari Laut Kapasan",4.06,"Indonesia","Simokerto",,"Jl. Kapasan No. 27, Simokerto, Surabaya",50000,100000,"https://pergikuliner.com/restaurants/surabaya/sari-laut-kapasan-simokerto"
"Lo.Co",4.02,"Kafe","Dago Atas",,"Jl. Bukit Dago Selatan No. 51, Dago Atas, Bandung",0,50000,"https://pergikuliner.com/restaurants/bandung/lo-co-dago-atas"
"Bloom Coffee & Eatery",4.09,"Kafe","Jelambar","Ruko Swadaya City Square, Blok I No. 8","Jl. Swadaya, Jelambar, Jakarta Barat",0,50000,"https://pergikuliner.com/restaurants/jakarta/bloom-coffee-dan-eatery-jelambar"
"Bhumi Coffee",4.05,"Kafe","Muara Karang",,"Jl. Pluit Karang Permai Blok T7 Selatan No. 48A, Muara Karang, Penjaringan, Jakarta Utara",0,50000,"https://pergikuliner.com/restaurants/jakarta/bhumi-coffee-muara-karang"
"Tom Sushi",4.09,"Jepang","Pondok Indah","Pondok Indah Mall 2, Lantai 3","Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/tom-sushi-pondok-indah"
"Basic Instinct Culinary",4.23,"Perancis","SCBD","Electronic City, Unit T17, SCBD Lot 22","Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/basic-instinct-culinary-scbd"
"Cutt & Grill",3.98,"Barat","Tebet",,"Jl. Tebet Barat Dalam Raya No. 23, Tebet, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/cutt-dan-grill-tebet"
"KFC Naughty by Nature",3.99,"Barat","Senopati",,"Jl. Senopati No. 24, Senopati, Kebayoran Baru, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/kfc-naughty-by-nature-senopati"
"Myriad",3.93,"Kafe","Melawai",,"Jl. Prof Joko Sutono No. 31, Melawai, Kebayoran Baru, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/myriad-melawai"
"Ocha & Bella - Hotel Morrissey",4.02,"Italia, Jepang","Menteng","Hotel Morrissey, Lantai 1","Jl. KH Wahid Hasyim No. 70, Menteng, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/ocha-dan-bella-hotel-morrissey-menteng"
"The Acre",3.96,"Kafe","Menteng",,"Jl. HOS Cokroaminoto No. 100, Menteng, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/the-acre-menteng"
"Warung Kopi Limarasa",3.97,"Kafe","Braga",,"Jl. Braga No. 36, Braga, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/warung-kopi-limarasa-braga"
"1/15 One Fifteenth Coffee",3.91,"Kafe","Gandaria",,"Jl. Gandaria I No. 63, Gandaria, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/1-15-one-fifteenth-coffee-gandaria"
"Smarapura",4,"Indonesia","Tebet",,"Jl. Tebet Timur Dalam II No. 43, Tebet, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/smarapura-tebet"
"Marugame Udon",4.04,"Jepang","Bekasi Utara","Summarecon Mall Bekasi, Lantai Ground, Downtown Walk","Jl. Ahmad Yani, Bekasi Utara, Bekasi",50000,100000,"https://pergikuliner.com/restaurants/bekasi/marugame-udon-bekasi-utara"
"The Harvest",4.02,"Toko Kue","Kebon Jeruk",,"Jl. Panjang No. 19, Kebon Jeruk, Jakarta Barat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/the-harvest-kebon-jeruk"
"Pizza Hut",4.02,"","Bintaro","Bintaro Jaya Xchange Mall, Lantai Lower Ground","Jl. Boulevard Bintaro Jaya, Bintaro, Tangerang Selatan",50000,100000,"https://pergikuliner.com/restaurants/tangerang/pizza-hut-bintaro"
"Bebek Kaleyo",3.97,"Indonesia","Daan Mogot","The Bale","Jl. Tanah Lot Raya, Daan Mogot, Jakarta Barat",0,50000,"https://pergikuliner.com/restaurants/jakarta/bebek-kaleyo-daan-mogot"
"Starbucks Coffee",4.02,"Kafe","Kelapa Gading","Mal Kelapa Gading 2, Lantai Ground","Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/starbucks-coffee-kelapa-gading-5"
"Noodle King",3.89,"Korea","BSD","AEON Mall BSD City, Lantai 3, Food Carnival","Jl. BSD Raya Utama, BSD, Serpong, Tangerang Selatan",100000,200000,"https://pergikuliner.com/restaurants/tangerang/noodle-king-bsd"
"Locarasa",3.91,"Kafe","Kemang",,"Jl. Kemang Raya No. 81, Kemang, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/locarasa-kemang-3"
"Ippudo",3.93,"Jepang","Thamrin","Grand Indonesia Mall, Lantai 3A, West Mall","Jl. MH Thamrin, Thamrin, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/ippudo-thamrin"
"Mangkokku",3.93,"","Tebet","Kota Kasablanka, Lantai Lower Ground","Jl. Casablanca Raya, Tebet, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/mangkokku-tebet"
"Tori Yo",3.92,"Snack","Kelapa Gading","Mall of Indonesia, Lantai 2, Dotonbori Foodtown","Jl. Boulevard Barat Raya, Kelapa Gading, Jakarta Utara",0,50000,"https://pergikuliner.com/restaurants/jakarta/tori-yo-kelapa-gading"
"Taeyang Sung",3.93,"Korea","Slipi","Neo Soho Mall, Lantai Lower Ground","Jl. Letjen S. Parman, Slipi, Jakarta Barat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/taeyang-sung-slipi"
"5758 Coffee Lab",4.4,"Kafe","Gegerkalong",,"Jl. Rusa Pinus Raya Blok E No. 1D, Gegerkalong, Bandung",0,50000,"https://pergikuliner.com/restaurants/bandung/5758-coffee-lab-gegerkalong"
"Wong Fu Kie",4.33,"China","Pantai Indah Kapuk","Pantjoran PIK","Jl. Pantai Indah Kapuk, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",100000,200000,"https://pergikuliner.com/restaurants/jakarta/wong-fu-kie-pantai-indah-kapuk"
"Salad Point ID",4.12,"Barat","Bogor Utara",,"Jl. Achmad Adnawijaya (Pandu Raya) No. 85, Bogor Utara, Bogor",50000,100000,"https://pergikuliner.com/restaurants/bogor/salad-point-id-bogor-utara-2"
"Pan & Flip",3.91,"Kafe","Karawaci","Supermal Karawaci, Lantai Upper Ground","Jl. Boulevard Diponegoro No. 105, Karawaci, Tangerang",50000,100000,"https://pergikuliner.com/restaurants/tangerang/pan-dan-flip-karawaci"
"Shabu Hachi",4.23,"Jepang","Pancoran Mas",,"Jl. Margonda Raya No. 2, Pancoran Mas, Depok",200000,,"https://pergikuliner.com/restaurants/depok/shabu-hachi-pancoran-mas"
"Sama Dengan",4.27,"Kafe","Puncak","Aston Ciloto Puncak","Jl. Raya Puncak No. 54, Puncak, Bogor",100000,200000,"https://pergikuliner.com/restaurants/bogor/sama-dengan-puncak"
"Ramen SeiRock-Ya",4.07,"Jepang","Karawaci","Supermal Karawaci, Lantai Upper Ground","Jl. Boulevard Diponegoro No. 105, Karawaci, Tangerang",50000,100000,"https://pergikuliner.com/restaurants/tangerang/ramen-seirock-ya-karawaci"
"Pepper Lunch Express",4.36,"Jepang","Puri","St Moritz Mall (Lippo Mall Puri), Lantai 1, Food Avenue","Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/pepper-lunch-express-puri-2"
"Cwie Mie 87",4.27,"Indonesia","Sunda",,"Jl. Sunda No. 74, Sunda, Bandung",0,50000,"https://pergikuliner.com/restaurants/bandung/cwie-mie-87-sunda"
