"title","rate","cuisine","location","address","street","price_from","price_till","url"
"Momo Paradise",4.73,"Jepang","Kelapa Gading","Mal Kelapa Gading 5, Lantai Ground","Jl. Kelapa Gading Boulevard, Kelapa Gading, Jakarta Utara",200000,,"https://pergikuliner.com/restaurants/jakarta/momo-paradise-kelapa-gading"
"Caspar",4.55,"Spanyol","Sudirman","Sudirman Suites Apartment Jakarta, Lantai Ground","Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/caspar-sudirman"
"Isshin",4.46,"Jepang","Slipi","Central Park, Lantai Lower Ground","Jl. Letjen S. Parman, Slipi, Jakarta Barat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/isshin-slipi"
"Furusato Izakaya",4.45,"Jepang","Sudirman","Sudirman Suites Apartment Jakarta, Lantai Ground","Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/furusato-izakaya-sudirman"
"Zibaa",4.5,"Barat, India, Arab/Timur Tengah, Indonesia","Gading Serpong","Ruko North Goldfinch, No. 51 - 52","Jl. Springs Boulevard, Gading Serpong, Serpong, Tangerang",100000,200000,"https://pergikuliner.com/restaurants/tangerang/zibaa-gading-serpong"
"Jenderal Kopi Nusantara Buwas",4.42,"Kafe","Riau",,"Jl. LLRE Martadinata No. 219, Riau, Bandung",100000,200000,"https://pergikuliner.com/restaurants/bandung/jenderal-kopi-nusantara-buwas-riau"
"The Social Pot",4.42,"Jepang, Thailand","Karet Kuningan","Lotte Shopping Avenue, Lantai 3","Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/the-social-pot-karet-kuningan"
"Fukumaru",4.45,"Jepang","Kelapa Gading",,"Jl. Raya Pegangsaan Dua No. 23C, Kelapa Gading, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/fukumaru-kelapa-gading"
"Osteria Gia",4.4,"Italia","SCBD","Pacific Place Mall, Lantai Ground, East Lobby","Jl. Jenderal Sudirman, SCBD, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/osteria-gia-scbd"
"The Social Pot",4.44,"Jepang, Thailand","Pondok Indah","Pondok Indah Mall 1, Lantai 2","Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/the-social-pot-pondok-indah"
"WAKI Japanese BBQ Dining",4.33,"Jepang","Thamrin",,"Jl. Tanjung Karang No. 5 (Lantai 1), Thamrin, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/waki-japanese-bbq-dining-thamrin"
"Roemah Legit",4.41,"Indonesia","Naripan",,"Jl. Embong No. 15, Naripan, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/roemah-legit-naripan"
"Onni House",4.51,"Kafe","Wonokromo",,"Jl. Opak No. 56, Wonokromo, Surabaya",50000,100000,"https://pergikuliner.com/restaurants/surabaya/onni-house-wonokromo"
"Maison Tremel",4.41,"Dessert","Pondok Indah","Pondok Indah Mall 2, Lantai 3","Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/maison-tremel-pondok-indah"
"Momo Paradise",4.53,"Jepang","Thamrin","Plaza Indonesia, Lantai 5","Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/momo-paradise-thamrin"
"Leisola by Aljazeerah",4.46,"Indonesia, Barat","Cikini","Al-Jazeerah, Lantai 3","Jl. Raden Saleh No. 62, Cikini, Menteng, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/leisola-by-aljazeerah-cikini"
"Aoki Japanese Cuisine - Hotel Gran Mahakam",4.41,"Jepang","Blok M","Hotel Gran Mahakam, Lantai Lower Lobby","Jl. Mahakam I No. 8, Blok M, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/aoki-japanese-cuisine-hotel-gran-mahakam-blok-m"
"The Social Pot",4.3,"Jepang, Thailand","Tebet","Kota Kasablanka, Lantai Lower Ground","Jl. Casablanca Raya, Tebet, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/the-social-pot-tebet"
"Aljazeerah Restaurant & Function Hall - Polonia",4.62,"Arab/Timur Tengah","Jatinegara",,"Jl. Cipinang Cempedak I No. 29, Jatinegara, Jakarta Timur",100000,200000,"https://pergikuliner.com/restaurants/jakarta/aljazeerah-restaurant-dan-function-hall-polonia-jatinegara"
"The Social Pot",4.4,"Jepang, Thailand","Slipi","Central Park, Lantai Lower Ground","Jl. Letjen S. Parman, Slipi, Jakarta Barat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/the-social-pot-slipi"
"Steak 21 Buffet",4.45,"Barat","Karet Kuningan","Lotte Shopping Avenue, Lantai 3","Jl. Prof Dr Satrio, Karet Kuningan, Setiabudi, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/steak-21-buffet-karet-kuningan"
"STUCO Coffee",4.7,"Kafe","Puncak",,"Jl. Cidokom No. 8, Puncak, Bogor",0,50000,"https://pergikuliner.com/restaurants/bogor/stuco-coffee-puncak"
"Tsamara Resto & Function Hall",4.32,"Indonesia","Jatisampurna",,"Jl. Raya Hankam Kav. 69, Jatisampurna, Bekasi",50000,100000,"https://pergikuliner.com/restaurants/bekasi/tsamara-resto-dan-function-hall-jatisampurna"
"Altitude Grill",4.62,"Barat","Thamrin","Altitude The Plaza, Lantai 46","Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/altitude-grill-thamrin"
"Locaahands",4.48,"Kafe","Wonokromo",,"Jl. Opak No. 39, Wonokromo, Surabaya",50000,100000,"https://pergikuliner.com/restaurants/surabaya/locaahands-wonokromo"
"Kollabora Coffee Geeks and Workspace",4.8,"Kafe","Dukuh Pakis",,"Jl. Raya Kupang Indah No. 51, Dukuh Pakis, Surabaya",0,50000,"https://pergikuliner.com/restaurants/surabaya/kollabora-coffee-geeks-and-workspace-dukuh-pakis"
"Mr. Fox",4.55,"Barat","Tegalsari","Tunjungan Plaza 5, Lantai Upper Ground","Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",200000,,"https://pergikuliner.com/restaurants/surabaya/mr-fox-tegalsari"
"Toodz House",4.25,"Kafe","Fatmawati",,"Jl. Cipete Raya No. 79, Fatmawati, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/toodz-house-fatmawati"
"Holycow! STEAKHOUSE by Chef Afit",4.7,"Barat","Mampang","Food Lab","Jl. Kapten Tendean No. 41, Mampang, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/holycow-steakhouse-by-chef-afit-mampang"
"Warung Leko",4.5,"Indonesia","Senayan","Plaza Senayan, Lantai Basement, The FoodHall","Jl. Asia Afrika, Senayan, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/warung-leko-senayan-2"
"Haidilao Hot Pot",4.46,"China","Gandaria","Gandaria City, Lantai Ground, Mainstreet Dining","Jl. Sultan Iskandar Muda, Gandaria, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/haidilao-hot-pot-gandaria"
"Hibara Ramen",4.4,"Jepang","Panglima Polim",,"Jl. Panglima Polim V No. 9, Panglima Polim, Kebayoran Baru, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/hibara-ramen-panglima-polim"
"Namaaz Dining",4.51,"Indonesia","Senopati",,"Jl. Gunawarman No. 42, Senopati, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/namaaz-dining-senopati"
"Sushi Masa",4.26,"Jepang","Penjaringan","Grey Building, Lantai 3","Jl. Tuna Raya No. 5, Penjaringan, Jakarta Utara",200000,,"https://pergikuliner.com/restaurants/jakarta/sushi-masa-penjaringan"
"Redback Specialty Coffee",4.37,"Kafe","Dukuh Pakis","Golf Graha Famili dan Country Club","Jl. Raya Golf Graha Famili Blok K, Dukuh Pakis, Surabaya",100000,200000,"https://pergikuliner.com/restaurants/surabaya/redback-specialty-coffee-dukuh-pakis-2"
"Tucano's Churrascaria Brasileira",4.31,"Brasil","Tanah Abang","Apartemen Pavilion Sudirman, Lantai Ground","Jl. KH Mas Mansyur, Tanah Abang, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/tucano-s-churrascaria-brasileira-tanah-abang"
"House Of Yuen - Fairmont Jakarta",4.51,"China","Senayan","Fairmont Jakarta, Lantai 3","Jl. Asia Afrika No. 8, Senayan, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/house-of-yuen-fairmont-jakarta-senayan"
"Karena Rasa",4.52,"Kafe","Bekasi Selatan","Perumnas 1","Jl. Komodo Raya No. 300, Bekasi Selatan, Bekasi",0,50000,"https://pergikuliner.com/restaurants/bekasi/karena-rasa-bekasi-selatan"
"Shaburi & Kintan Buffet",4.52,"Jepang","Bekasi Selatan","Grand Metropolitan Bekasi, Lantai Upper Ground","Jl. KH. Noer Ali, Bekasi Selatan, Bekasi",200000,,"https://pergikuliner.com/restaurants/bekasi/shaburi-dan-kintan-buffet-bekasi-selatan"
"Animale Restaurant",4.34,"Barat","Setiabudi","MD Place, Lantai 11","Jl. Setiabudi Selatan No. 7, Setiabudi, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/animale-restaurant-setiabudi"
"Kohicha Cafe",4.26,"Kafe","Kelapa Gading","Ruko Gading Kirana, Blok A6A No. 21","Jl. Boulevard Artha Gading, Kelapa Gading, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/kohicha-cafe-kelapa-gading"
"Gyu Kaku",4.62,"Jepang","Tegalsari","Tunjungan Plaza 4, Lantai 5","Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",200000,,"https://pergikuliner.com/restaurants/surabaya/gyu-kaku-tegalsari"
"Norte Coffee",4.47,"Kafe","Muara Karang","86 Workspace","Jl. Pluit Karang Selatan No. 86, Muara Karang, Penjaringan, Jakarta Utara",0,50000,"https://pergikuliner.com/restaurants/jakarta/norte-coffee-muara-karang"
"Le Gran Cafe - Hotel Gran Mahakam",4.32,"Indonesia","Blok M","Hotel Gran Mahakam, Lantai Mezzanine","Jl. Mahakam I No. 8, Blok M, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/le-gran-cafe-hotel-gran-mahakam-blok-m"
"Double U Steak by Chef Widhi",4.43,"Barat","Bekasi Selatan","Grand Galaxy City","Jl. Wijaya Kusuma A1 No. 183, Bekasi Selatan, Bekasi",100000,200000,"https://pergikuliner.com/restaurants/bekasi/double-u-steak-by-chef-widhi-bekasi-selatan"
"Tata Cakery",4.31,"Kafe","Pantai Indah Kapuk","Ruko Exclusive, Blok G No. 25, Bukit Golf Mediterania","Jl. Marina Indah Raya, Pantai Indah Kapuk, Penjaringan, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/tata-cakery-pantai-indah-kapuk"
"Kalav Burger & Platter",4.38,"Kafe","Bekasi Timur","Perumnas 3","Jl. P Bali Raya Blok G No. 7, Bekasi Timur, Bekasi",0,50000,"https://pergikuliner.com/restaurants/bekasi/kalav-burger-dan-platter-bekasi-timur"
"Blau Eatery & Coffee",4.41,"Kafe","Kelapa Gading",,"Jl. Pelepah Elok I Blok QA2 No. 7, Kelapa Gading, Jakarta Utara",100000,200000,"https://pergikuliner.com/restaurants/jakarta/blau-eatery-dan-coffee-kelapa-gading"
"Sushi Hiro",4.45,"Jepang","Thamrin","Plaza Indonesia, Lantai 2","Jl. MH Thamrin, Thamrin, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/sushi-hiro-thamrin"
"Bellamie Boulangerie",4.23,"Kafe","Riau",,"Jl. Cihapit No. 37, Riau, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/bellamie-boulangerie-riau"
"Canabeans",4.37,"Kafe","Bintaro","The Accent, Lantai Ground","Jl. MH. Thamrin CBD (Bintaro Sektor 7), Bintaro, Tangerang Selatan",50000,100000,"https://pergikuliner.com/restaurants/tangerang/canabeans-bintaro"
"Lee Palace",4.27,"China","Hayam Wuruk","Harmoni Exchange Center, Lantai 3","Jl. Hayam Wuruk No. 6, Hayam Wuruk, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/lee-palace-hayam-wuruk"
"Sushi Hiro",4.31,"Jepang","Senayan","Senayan City, Lantai 5","Jl. Asia Afrika, Senayan, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/sushi-hiro-senayan"
"Exquise Patisserie",4.25,"Kafe","Kelapa Gading",,"Jl. Boulevard Raya Blok WB2 No. 24, Kelapa Gading, Jakarta Utara",100000,200000,"https://pergikuliner.com/restaurants/jakarta/exquise-patisserie-kelapa-gading"
"Amuz",4.46,"Perancis","SCBD","Energy Building, Lantai 2","Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/amuz-scbd"
"Yoshinoya",4.34,"Jepang","Genteng","Plaza Surabaya, Lantai 1","Jl. Pemuda, Genteng, Surabaya",50000,100000,"https://pergikuliner.com/restaurants/surabaya/yoshinoya-genteng"
"Baparapi Kopi",4.36,"Kafe","Alam Sutera","Alam Sutera Town Center, Blok 10E No. 1 - 2","Jl. Alam Utama, Alam Sutera, Serpong, Tangerang Selatan",50000,100000,"https://pergikuliner.com/restaurants/tangerang/baparapi-kopi-alam-sutera"
"Maison Tremel",4.3,"Dessert","Thamrin","Plaza Indonesia, Lantai 5","Jl. MH Thamrin, Thamrin, Jakarta Pusat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/maison-tremel-thamrin"
"Kinari Coffee Shop",4.39,"Kafe","Kelapa Gading",,"Jl. Kelapa Cengkir Timur Blok FH2 No. 6, Kelapa Gading, Jakarta Utara",50000,100000,"https://pergikuliner.com/restaurants/jakarta/kinari-coffee-shop-kelapa-gading"
"Cutt & Grill",4.39,"Barat","Senopati",,"Jl. Suryo No. 32, Senopati, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/cutt-dan-grill-senopati"
"Gruham Coffee & Bistro",4.38,"Kafe","Panglima Polim",,"Jl. Panglima Polim V No. 21, Panglima Polim, Kebayoran Baru, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/gruham-coffee-dan-bistro-panglima-polim"
"Fish & Chips ThreeHouse",4.32,"Barat, Indonesia","Gatot Subroto","Apartemen Park Royale, Tower Lobby 1","Jl. Gatot Subroto, Gatot Subroto, Jakarta Pusat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/fish-dan-chips-threehouse-gatot-subroto"
"Maikeru",4.28,"Jepang","Senopati",,"Jl. Tulodong Atas No. 28, Senopati, Kebayoran Baru, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/maikeru-senopati"
"Eggcetera Cafe",4.47,"Toko Kue","Fatmawati","Ruko Golden Fatmawati, Blok E No. 16","Jl. RS Fatmawati, Fatmawati, Jakarta Selatan",0,50000,"https://pergikuliner.com/restaurants/jakarta/eggcetera-cafe-fatmawati"
"Dough Lab",4.35,"Toko Kue","Slipi","Central Park, Lantai Lower Ground","Jl. Letjen S. Parman, Slipi, Jakarta Barat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/dough-lab-slipi"
"Coco Bakehouse",4.31,"Toko Roti dan Kue, Kafe","Kelapa Gading","Ruko Grand Orchard Square, Blok D No. 9","Jl. Terusan Kelapa Hibrida, Kelapa Gading, Jakarta Utara",0,50000,"https://pergikuliner.com/restaurants/jakarta/coco-bakehouse-kelapa-gading"
"Padang Merdeka",4.24,"Indonesia","Kota",,"Jl. Lada No. 1, Kota, Jakarta Barat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/padang-merdeka-kota"
"Social Garden",4.27,"Barat, Indonesia","Senayan","Senayan City, Lantai Ground","Jl. Asia Afrika, Senayan, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/social-garden-senayan"
"The Writers Bar - Raffles Jakarta Hotel",4.37,"Barat","Karet Kuningan","Raffles Jakarta Hotel, Lantai Ground","Jl. Prof Dr Satrio No. 3 - 5, Karet Kuningan, Setiabudi, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/the-writers-bar-raffles-jakarta-hotel-karet-kuningan"
"Marutama Ra-men",4.23,"Jepang","Senayan","Sentral Senayan 1, Lantai Basement","Jl. Asia Afrika No. 8, Senayan, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/marutama-ra-men-senayan"
"Lustre",4.45,"Kafe","Pondok Indah","Pondok Indah Mall 1, Street Gallery, Lantai 2","Jl. Metro Pondok Indah, Pondok Indah, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/lustre-pondok-indah"
"Djournal Coffee",4.29,"Kafe","Tegalsari","Tunjungan Plaza 4, Lantai 1","Jl. Basuki Rahmat No. 8 - 12, Tegalsari, Surabaya",50000,100000,"https://pergikuliner.com/restaurants/surabaya/djournal-coffee-tegalsari"
"Gormeteria",4.19,"Kafe","Pasir Kaliki",,"Jl. Pasir Kaliki No. 176, Pasir Kaliki, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/gormeteria-pasir-kaliki"
"Gyumbox",4.25,"Indonesia","Pasir Kaliki","Paskal Hypersquare, Blok D No. 66 - 67","Jl. Pasir Kaliki No. 25 - 27, Pasir Kaliki, Bandung",0,50000,"https://pergikuliner.com/restaurants/bandung/gyumbox-pasir-kaliki-2"
"Hokkaido Baked Cheese Tart",4.63,"Toko Kue","Bekasi Selatan","Mall Metropolitan, Lantai Dasar","Jl. KH. Noer Ali, Bekasi Selatan, Bekasi",0,50000,"https://pergikuliner.com/restaurants/bekasi/hokkaido-baked-cheese-tart-bekasi-selatan"
"Isshin",4.3,"Jepang","Tebet","Kota Kasablanka, Lantai Upper Ground, Food Society","Jl. Casablanca Raya, Tebet, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/isshin-tebet"
"Enmaru",4.21,"Jepang","Thamrin","Altitude The Plaza, Lantai 46","Jl. MH Thamrin Kav. 28 - 30, Thamrin, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/enmaru-thamrin"
"Botanica",4.25,"Barat, Spanyol","SCBD","ASHTA District 8, Lantai Ground","Jl. Jenderal Sudirman Kav. 52 - 53, SCBD, Kebayoran Baru, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/botanica-scbd"
"Miss Bee Providore",4.21,"Barat","Ciumbuleuit",,"Jl. Ranca Bentang No. 11A, Ciumbuleuit, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/miss-bee-providore-ciumbuleuit"
"Sukinabe",4.27,"Jepang","Fatmawati",,"Jl. Cipete Raya No. 8C, Fatmawati, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/sukinabe-fatmawati"
"Urban Wagyu",4.33,"Barat","Wonokromo",,"Jl. Opak No. 50, Wonokromo, Surabaya",200000,,"https://pergikuliner.com/restaurants/surabaya/urban-wagyu-wonokromo"
"Ambrogio Patisserie",4.16,"Kafe","Banda",,"Jl. Banda No. 24, Banda, Riau, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/ambrogio-patisserie-banda"
"Weekend.ers",4.33,"Thailand","Bogor Timur",,"Jl. Pajajaran Indah I No. 1, Bogor Timur, Bogor",50000,100000,"https://pergikuliner.com/restaurants/bogor/weekend-ers-bogor-timur"
"Ottoke Kape",4.71,"Kafe","Rawalumbu","Kemang Pratama, Ruko Kemang Pratama, Blok AN No. 19","Jl. Kemang Pratama Raya, Rawalumbu, Bekasi",50000,100000,"https://pergikuliner.com/restaurants/bekasi/ottoke-kape-rawalumbu"
"Vallee Neuf Patisserie",4.26,"Kafe","Gading Serpong","Ruko New Jasmine Extension, Blok HA16 No. 23","Jl. Kelapa Gading Selatan I, Gading Serpong, Serpong, Tangerang",50000,100000,"https://pergikuliner.com/restaurants/tangerang/vallee-neuf-patisserie-gading-serpong"
"Terasa Kopi",4.49,"Kafe","Pondok Gede","Natuna House","Jl. Cempaka No. 23, Pondok Gede, Bekasi",0,50000,"https://pergikuliner.com/restaurants/bekasi/terasa-kopi-pondok-gede"
"Garage Cafe",4.3,"Kafe","Pluit",,"Jl. Pluit Permai I No. 46, Pluit, Penjaringan, Jakarta Utara",0,50000,"https://pergikuliner.com/restaurants/jakarta/garage-cafe-pluit"
"Skye",4.25,"Barat","Thamrin","Menara BCA, Lantai 56","Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/skye-thamrin"
"Twin House",4.25,"Kafe","Bintaro","CBD Emerald Bintaro","Jl. Boulevard Bintaro Jaya (Bintaro Sektor 7), Bintaro, Tangerang Selatan",100000,200000,"https://pergikuliner.com/restaurants/tangerang/twin-house-bintaro"
"Yakiniku Like",4.26,"Jepang","Puri","St Moritz Mall (Lippo Mall Puri), Lantai Lower Ground, Takeshita Street","Jl. Puri Indah Boulevard Blok U1, Puri, Jakarta Barat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/yakiniku-like-puri"
"Titik Beku",4.37,"Kafe","Bekasi Selatan","Lagoon Avenue Bekasi, Lantai Ground","Jl. KH. Noer Ali No. 3, Bekasi Selatan, Bekasi",50000,100000,"https://pergikuliner.com/restaurants/bekasi/titik-beku-bekasi-selatan"
"Breve",4.29,"Kafe","Wonokromo",,"Jl. Sambas No. 20, Wonokromo, Surabaya",0,50000,"https://pergikuliner.com/restaurants/surabaya/breve-wonokromo"
"Li Feng - Mandarin Oriental Hotel",4.29,"China","Thamrin","Mandarin Oriental Hotel, Lantai 2","Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/li-feng-mandarin-oriental-hotel-thamrin"
"The Restaurant - Hotel Padma",4.4,"Indonesia, Barat","Ciumbuleuit","Hotel Padma, Lantai 1","Jl. Ranca Bentang No. 56 - 58, Ciumbuleuit, Bandung",200000,,"https://pergikuliner.com/restaurants/bandung/the-restaurant-hotel-padma-ciumbuleuit"
"Cutt & Grill",4.46,"Barat","BSD","The Breeze","Jl. Grand Boulevard, BSD, Serpong, Tangerang Selatan",200000,,"https://pergikuliner.com/restaurants/tangerang/cutt-dan-grill-bsd"
"Paris Sorbet",4.24,"Dessert","Senopati","Graha Tirta","Jl. Wolter Monginsidi No. 71, Senopati, Kebayoran Baru, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/paris-sorbet-senopati"
"Edogin - Hotel Mulia",4.45,"Jepang","Senayan","Hotel Mulia, Lantai Ground","Jl. Asia Afrika, Senayan, Jakarta Selatan",200000,,"https://pergikuliner.com/restaurants/jakarta/edogin-hotel-mulia-senayan"
"B'Steak Grill & Pancake",4.36,"Barat","Bogor Timur",,"Jl. Pajajaran Indah V No. 45, Bogor Timur, Bogor",100000,200000,"https://pergikuliner.com/restaurants/bogor/b-steak-grill-dan-pancake-bogor-timur"
"Terai Coffeatery",4.31,"Kafe","Dago Atas",,"Jl. Tubagus Ismail Raya No. 175, Dago Atas, Bandung",0,50000,"https://pergikuliner.com/restaurants/bandung/terai-coffeatery-dago-atas"
"Umaku Sushi",4.3,"Jepang","Jatisampurna","Perumahan Citra Grand, Ruko City Walk, Blok CW1 No. 26","Jl. Raya Alternatif Cibubur, Jatisampurna, Bekasi",50000,100000,"https://pergikuliner.com/restaurants/bekasi/umaku-sushi-jatisampurna"
"Haidilao Hot Pot",4.39,"China","Thamrin","Grand Indonesia Mall, Lantai Upper Ground, East Mall","Jl. MH Thamrin, Thamrin, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/haidilao-hot-pot-thamrin"
"Lumpang Emas",4.31,"Indonesia","Wijaya","Rumah Umara","Jl. Wijaya II No. 28, Wijaya, Kebayoran Baru, Jakarta Selatan",50000,100000,"https://pergikuliner.com/restaurants/jakarta/lumpang-emas-wijaya"
"Putera Lombok",4.35,"Indonesia","Alam Sutera","Ruko Renata, Kav. 20A No. 10 - 11","Jl. Jalur Sutera Timur, Alam Sutera, Serpong, Tangerang Selatan",50000,100000,"https://pergikuliner.com/restaurants/tangerang/putera-lombok-alam-sutera"
"Sunday Bowl Cereal Club",4.35,"Kafe","Panglima Polim",,"Jl. Panglima Polim V No. 36, Panglima Polim, Kebayoran Baru, Jakarta Selatan",0,50000,"https://pergikuliner.com/restaurants/jakarta/sunday-bowl-cereal-club-panglima-polim"
"Little Talk",4.29,"Kafe","Bantar Gebang","Vida Bekasi","Jl. Tirta Utama No. 10 (Depan Marketing Gallery), Bantar Gebang, Bekasi",0,50000,"https://pergikuliner.com/restaurants/bekasi/little-talk-bantar-gebang"
"Bruen Coffee & Kitchen",4.24,"Kafe","Jatinegara",,"Jl. D. I. Panjaitan No. 46, Jatinegara, Jakarta Timur",100000,200000,"https://pergikuliner.com/restaurants/jakarta/bruen-coffee-dan-kitchen-jatinegara"
"Hachi Grill",4.57,"Jepang","Sarijadi",,"Jl. Prof. Dr. Sutami No. 56, Sarijadi, Bandung",200000,,"https://pergikuliner.com/restaurants/bandung/hachi-grill-sarijadi"
"Shabu Hachi",4.34,"Jepang","Bogor Timur",,"Jl. Raya Pajajaran No. 75, Bogor Timur, Bogor",200000,,"https://pergikuliner.com/restaurants/bogor/shabu-hachi-bogor-timur"
"Kembang Tandjoeng",4.22,"Indonesia","Tomang","Griya Batik Semar, Lantai 1","Jl. Tomang Raya No. 54, Tomang, Jakarta Barat",50000,100000,"https://pergikuliner.com/restaurants/jakarta/kembang-tandjoeng-tomang"
"Coffee Talevu",4.73,"Kafe","Rawalumbu","Ruko D'Minimalis, Blok B No. 5","Jl. Pramuka, Rawalumbu, Bekasi",0,50000,"https://pergikuliner.com/restaurants/bekasi/coffee-talevu-rawalumbu"
"Hi, Brew! Coffee & Eatery",4.31,"Kafe","Cipaganti",,"Jl. Boscha No. 43, Cipaganti, Bandung",50000,100000,"https://pergikuliner.com/restaurants/bandung/hi-brew-coffee-dan-eatery-cipaganti"
"Social House",4.16,"Barat, Indonesia","Thamrin","Grand Indonesia Mall, Lantai 1, East Mall","Jl. MH Thamrin, Thamrin, Jakarta Pusat",100000,200000,"https://pergikuliner.com/restaurants/jakarta/social-house-thamrin"
"Jia Dining - Hotel Shangri-La Jakarta",4.27,"China","Sudirman","Hotel Shangri-La Jakarta, Lantai 1","Jl. Jenderal Sudirman, Sudirman, Jakarta Pusat",200000,,"https://pergikuliner.com/restaurants/jakarta/jia-dining-hotel-shangri-la-jakarta-sudirman"
"Kopitagram",4.42,"Kafe","Bogor Tengah",,"Jl. Malabar Ujung No. 1, Bogor Tengah, Bogor",0,50000,"https://pergikuliner.com/restaurants/bogor/kopitagram-bogor-tengah"
"Garasi Ergo",4.46,"Kafe","Wiyung","ROCA Clubhouse","Jl. Bintang Graha Famili X No. 2, Wiyung, Surabaya",50000,100000,"https://pergikuliner.com/restaurants/surabaya/garasi-ergo-wiyung"
"Nidcielo",4.41,"Spanyol","Senopati","Soho, Lantai 2","Jl. Gunawarman No. 61, Senopati, Kebayoran Baru, Jakarta Selatan",100000,200000,"https://pergikuliner.com/restaurants/jakarta/nidcielo-senopati"
